How does microservices architecture handle failures differently than monolithic systems?,"Failures are more common due to many moving parts, but they can be isolated to prevent spreading."
What are the four key pillars of Cloud-Native applications?,"Microservices, Containers/Orchestration, DevOps/Automation, and Open Standards."
What is the role of Kubernetes in a cloud-native stack?,"It acts as an orchestration platform to manage container placement, scaling, and failure recovery."
How does middleware achieve 'Decoupling' in microservices?,By introducing an intermediary communication layer that separates producers from consumers.
How does caching middleware improve performance for a news portal?,"By storing frequently accessed article data in memory, reducing the need for repeated database queries."
What is a 'Dead-letter mechanism' in messaging middleware?,A system that captures failed requests and handles them gracefully once dependencies recover.
What is a 'Service Mesh' in a cloud-native middleware stack?,"Middleware that handles internal service-to-service communication, traffic routing, and security."
"In the FoodFast case study, why would the system fail without a caching layer during peak traffic?","Every request would synchronously access the database, leading to increased locks and eventual unresponsiveness."
What is the role of monitoring middleware like Prometheus?,"To track real-time operational metrics like CPU utilization, latency, and error rates."
Why is 'Sequential Consistency' used in distributed file systems?,"It ensures operations from all processes appear to execute in a specific, consistent sequential order."
What is the primary benefit of 'Open Standards' in cloud-native ecosystems?,"They handle cross-cutting concerns like logging and discovery, letting developers focus on business logic."
